lambda_coin,value_debias,gate_min,n_seed_pairs,paired_margin,se,ci_low_normal,ci_high_normal,deviations_per_game,chosen,stage1_myopic_deviations_per_game,near_stage1_myopic_footprint,proxy_rescue_artifact
0.0,0.0,1.0,200,3.44,2.31,-1.0875999999999997,7.967599999999999,4.19,0,4.266666666666667,1,0
0.0,2.0,1.0,200,10.18,2.16,5.9464,14.413599999999999,3.87,0,4.266666666666667,1,0
0.0,5.0,1.0,200,16.54,2.15,12.326,20.753999999999998,3.59,0,4.266666666666667,1,0
0.5,0.0,1.0,200,17.68,2.06,13.642399999999999,21.7176,3.9,0,4.266666666666667,1,0
0.5,2.0,1.0,200,22.62,2.23,18.249200000000002,26.9908,4.33,1,4.266666666666667,1,0
0.5,5.0,1.0,200,25.19,2.43,20.4272,29.952800000000003,6.04,0,4.266666666666667,0,0
1.0,0.0,1.0,200,26.42,2.39,21.7356,31.104400000000002,5.82,0,4.266666666666667,0,1
1.0,2.0,1.0,200,23.67,2.48,18.8092,28.530800000000003,7.14,0,4.266666666666667,0,1
1.0,5.0,1.0,200,15.91,2.66,10.6964,21.1236,8.87,0,4.266666666666667,0,1
1.6,0.0,1.0,200,17.34,2.65,12.146,22.534,8.8,0,4.266666666666667,0,1
1.6,2.0,1.0,200,11.27,2.68,6.017199999999999,16.5228,9.54,0,4.266666666666667,0,1
1.6,5.0,1.0,200,2.49,2.77,-2.9391999999999996,7.9192,10.11,0,4.266666666666667,0,1
2.5,0.0,1.0,200,2.73,2.84,-2.8364,8.2964,10.26,0,4.266666666666667,0,1
2.5,2.0,1.0,200,-1.5,2.88,-7.1448,4.1448,10.46,0,4.266666666666667,0,1
2.5,5.0,1.0,200,-6.87,2.78,-12.3188,-1.4212000000000007,10.61,0,4.266666666666667,0,1
0.0,0.0,2.0,200,6.21,2.07,2.1528,10.267199999999999,3.27,0,4.266666666666667,0,0
0.0,0.0,4.0,200,6.42,1.88,2.7352000000000003,10.1048,2.0,0,4.266666666666667,0,0
0.0,5.0,2.0,200,14.3,1.96,10.458400000000001,18.1416,2.62,0,4.266666666666667,0,0
