q_source,lambda_kl,n_games,games_per_seat,first_place_rate,mean_margin,ci_low,ci_high,paired_delta_vs_infinity,paired_ci_low,paired_ci_high,interval
selfplay_q,∞,120,40,0.425,1.2333333333333334,-2.2137405114665234,4.680407178133191,,,,normal 95% CI over arm margins; Student-t 95% CI over paired differences
selfplay_q,1,120,40,0.4167,2.725,-1.057759214450452,6.507759214450452,1.4916666666666667,-3.3680545715264274,6.351387904859761,normal 95% CI over arm margins; Student-t 95% CI over paired differences
selfplay_q,0.3,120,40,0.3167,-1.3833333333333333,-4.720845882084558,1.9541792154178914,-2.6166666666666667,-7.119029935334186,1.8856966020008534,normal 95% CI over arm margins; Student-t 95% CI over paired differences
selfplay_q,0.1,120,40,0.2917,-1.7875,-5.058781948003463,1.4837819480034629,-3.0208333333333335,-7.554519002740035,1.5128523360733674,normal 95% CI over arm margins; Student-t 95% CI over paired differences
selfplay_q,0,120,40,0.35,-0.25416666666666665,-3.63568671997332,3.127353386639986,-1.4875,-6.3727827190787325,3.397782719078733,normal 95% CI over arm margins; Student-t 95% CI over paired differences
flash_q,∞,120,40,0.325,-0.6291666666666667,-4.071487593179928,2.813154259846594,,,,normal 95% CI over arm margins; Student-t 95% CI over paired differences
flash_q,1,120,40,0.4417,5.470833333333333,1.5795856645342066,9.36208100213246,6.1,0.379183062596101,11.820816937403897,normal 95% CI over arm margins; Student-t 95% CI over paired differences
flash_q,0.3,120,40,0.3167,-2.1125,-5.481615764457155,1.2566157644571554,-1.4833333333333334,-6.06933782267324,3.102671156006573,normal 95% CI over arm margins; Student-t 95% CI over paired differences
flash_q,0.1,120,40,0.4167,3.65,0.01908811756065676,7.280911882439343,4.279166666666667,-1.1070556974315222,9.665389030764857,normal 95% CI over arm margins; Student-t 95% CI over paired differences
flash_q,0,120,40,0.425,5.183333333333334,1.9166749019711657,8.4499917646955,5.8125,0.6963060601530051,10.928693939846994,normal 95% CI over arm margins; Student-t 95% CI over paired differences
