probability_bin,bin_low,bin_high,n_decisions,mean_predicted_win_probability,empirical_win_frequency,ci_low_cluster_bootstrap,ci_high_cluster_bootstrap
0.0–0.1,0.0,0.1,743,0.006662,0.009421,0.002743,0.016807
0.1–0.2,0.1,0.2,84,0.140183,0.047619,0.011111,0.096774
0.2–0.3,0.2,0.3,20,0.229900,0.150000,0.000000,0.333333
0.3–0.4,0.3,0.4,77,0.342057,0.077922,0.025316,0.141026
0.4–0.5,0.4,0.5,38,0.427400,0.236842,0.105263,0.380952
0.5–0.6,0.5,0.6,53,0.559300,0.528302,0.411765,0.648148
0.6–0.7,0.6,0.7,83,0.639307,0.385542,0.280899,0.493506
0.7–0.8,0.7,0.8,175,0.732000,0.788571,0.724138,0.848650
0.8–0.9,0.8,0.9,291,0.848251,0.800687,0.753422,0.847826
0.9–1.0,0.9,1.0,197,0.952387,0.903553,0.857143,0.945946
